STATE US ABBREVIATION,RC-PAIN RELIEVERS - PAST YEAR MISUSE,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Count,Count SE
MS,1 - Misused within the past year,0,0.0001,0,0.001,0.046,0.0065,0.034,0.06,0.011,0.0016,0.008,0.014,112000,N/A,17000
MT,Overall,0.003,0.0001,0.003,0.003,1,0,N/A,N/A,0.003,0.0001,0.003,0.003,888000,N/A,28000
MT,0 - Did not misuse in the past year,0.003,0.0001,0.003,0.003,0.959,0.006,0.945,0.969,0.003,0.0001,0.003,0.003,852000,N/A,27000
MT,1 - Misused within the past year,0,0,0,0,0.041,0.006,0.031,0.055,0.003,0.0005,0.003,0.005,37000,N/A,6000
NC,Overall,0.032,0.001,0.03,0.033,1,0,N/A,N/A,0.032,0.001,0.03,0.033,8615000,N/A,266000
NC,0 - Did not misuse in the past year,0.031,0.0009,0.029,0.032,0.968,0.0032,0.961,0.974,0.032,0.0009,0.03,0.034,8340000,N/A,252000
NC,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.032,0.0032,0.026,0.039,0.026,0.0029,0.021,0.032,276000,N/A,30000
ND,Overall,0.002,0.0001,0.002,0.002,1,0,N/A,N/A,0.002,0.0001,0.002,0.002,617000,N/A,22000
ND,0 - Did not misuse in the past year,0.002,0.0001,0.002,0.002,0.969,0.0059,0.955,0.979,0.002,0.0001,0.002,0.002,598000,N/A,22000
ND,1 - Misused within the past year,0,0,0,0,0.031,0.0059,0.021,0.045,0.002,0.0004,0.001,0.003,19000,N/A,4000
NE,Overall,0.006,0.0002,0.005,0.006,1,0,N/A,N/A,0.006,0.0002,0.005,0.006,1575000,N/A,57000
NE,0 - Did not misuse in the past year,0.006,0.0002,0.005,0.006,0.969,0.0036,0.962,0.976,0.006,0.0002,0.005,0.006,1527000,N/A,57000
NE,1 - Misused within the past year,0,0,0,0,0.031,0.0036,0.024,0.038,0.005,0.0005,0.004,0.006,48000,N/A,5000
NH,Overall,0.004,0.0002,0.004,0.005,1,0,N/A,N/A,0.004,0.0002,0.004,0.005,1170000,N/A,50000
NH,0 - Did not misuse in the past year,0.004,0.0002,0.004,0.005,0.963,0.0067,0.947,0.974,0.004,0.0002,0.004,0.005,1126000,N/A,50000
NH,1 - Misused within the past year,0,0,0,0,0.037,0.0067,0.026,0.053,0.004,0.0008,0.003,0.006,44000,N/A,8000
NJ,Overall,0.028,0.0009,0.026,0.03,1,0,N/A,N/A,0.028,0.0009,0.026,0.03,7575000,N/A,264000
NJ,0 - Did not misuse in the past year,0.027,0.0009,0.025,0.029,0.969,0.0045,0.959,0.977,0.028,0.001,0.026,0.03,7338000,N/A,263000
