STATE US ABBREVIATION,PAIN RELIEVERS - PAST YEAR USE,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Count,Count SE
OK,0 - Did not use in the past year,0.011,0.0005,0.01,0.012,0.943,0.0089,0.922,0.958,0.012,0.0005,0.011,0.013,2936000,N/A,125000
OR,0 - Did not use in the past year,0.012,0.0006,0.011,0.013,0.939,0.0089,0.919,0.955,0.012,0.0006,0.011,0.014,3110000,N/A,159000
PA,0 - Did not use in the past year,0.04,0.0011,0.038,0.042,0.962,0.003,0.955,0.967,0.042,0.0011,0.04,0.044,10387000,N/A,274000
RI,0 - Did not use in the past year,0.003,0.0002,0.003,0.004,0.948,0.0074,0.931,0.961,0.003,0.0002,0.003,0.004,850000,N/A,47000
SC,0 - Did not use in the past year,0.014,0.0008,0.013,0.016,0.959,0.0058,0.946,0.969,0.015,0.0008,0.014,0.017,3766000,N/A,212000
SD,0 - Did not use in the past year,0.003,0.0001,0.002,0.003,0.967,0.007,0.95,0.978,0.003,0.0001,0.002,0.003,658000,N/A,32000
TN,0 - Did not use in the past year,0.02,0.0012,0.018,0.022,0.956,0.0072,0.94,0.969,0.021,0.0012,0.018,0.023,5151000,N/A,312000
TX,0 - Did not use in the past year,0.077,0.0025,0.072,0.082,0.958,0.0031,0.952,0.964,0.081,0.0026,0.076,0.086,20161000,N/A,684000
UT,0 - Did not use in the past year,0.008,0.0005,0.007,0.009,0.96,0.0065,0.945,0.971,0.009,0.0005,0.008,0.01,2147000,N/A,129000
VA,0 - Did not use in the past year,0.024,0.0015,0.022,0.028,0.942,0.0107,0.917,0.96,0.026,0.0016,0.023,0.029,6376000,N/A,397000
VT,0 - Did not use in the past year,0.002,0.0001,0.002,0.002,0.969,0.0054,0.957,0.978,0.002,0.0001,0.002,0.002,525000,N/A,26000
WA,0 - Did not use in the past year,0.021,0.0012,0.019,0.023,0.943,0.0076,0.926,0.956,0.022,0.0012,0.019,0.024,5439000,N/A,314000
WI,0 - Did not use in the past year,0.018,0.0008,0.016,0.019,0.957,0.0072,0.94,0.969,0.018,0.0009,0.017,0.02,4592000,N/A,217000
WV,0 - Did not use in the past year,0.006,0.0003,0.005,0.006,0.961,0.0053,0.949,0.97,0.006,0.0003,0.005,0.007,1513000,N/A,76000
WY,0 - Did not use in the past year,0.002,0.0001,0.002,0.002,0.966,0.0056,0.953,0.975,0.002,0.0001,0.002,0.002,460000,N/A,20000
Overall,1 - Used within the past year,0.045,0.001,0.043,0.047,0.045,0.001,0.043,0.047,1,0,N/A,N/A,11777000,N/A,268000
AK,1 - Used within the past year,0,0,0,0,0.049,0.0058,0.038,0.062,0.002,0.0003,0.002,0.003,28000,N/A,3000
AL,1 - Used within the past year,0.001,0.0001,0.001,0.001,0.061,0.0085,0.046,0.08,0.021,0.0031,0.015,0.028,245000,N/A,37000
AR,1 - Used within the past year,0,0.0001,0,0.001,0.049,0.0081,0.036,0.068,0.01,0.0016,0.007,0.014,120000,N/A,19000
AZ,1 - Used within the past year,0.001,0.0002,0.001,0.002,0.064,0.0108,0.045,0.088,0.029,0.0053,0.02,0.042,343000,N/A,64000
CA,1 - Used within the past year,0.006,0.0004,0.006,0.007,0.053,0.0034,0.046,0.06,0.141,0.009,0.124,0.16,1660000,N/A,117000
CO,1 - Used within the past year,0.001,0.0001,0.001,0.001,0.049,0.0079,0.036,0.067,0.018,0.0028,0.013,0.024,211000,N/A,34000
CT,1 - Used within the past year,0,0.0001,0,0.001,0.029,0.006,0.019,0.043,0.007,0.0016,0.005,0.011,87000,N/A,18000
DC,1 - Used within the past year,0,0,0,0,0.043,0.0067,0.032,0.059,0.002,0.0003,0.001,0.003,24000,N/A,4000
DE,1 - Used within the past year,0,0,0,0,0.048,0.0069,0.037,0.064,0.003,0.0005,0.002,0.004,37000,N/A,5000
FL,1 - Used within the past year,0.002,0.0002,0.002,0.003,0.034,0.003,0.029,0.041,0.048,0.004,0.041,0.056,566000,N/A,47000
GA,1 - Used within the past year,0.002,0.0003,0.001,0.002,0.051,0.0078,0.037,0.068,0.035,0.0055,0.025,0.047,409000,N/A,67000
HI,1 - Used within the past year,0,0,0,0,0.046,0.0061,0.036,0.06,0.004,0.0006,0.003,0.006,52000,N/A,7000
IA,1 - Used within the past year,0,0,0,0,0.029,0.0046,0.021,0.04,0.006,0.0009,0.005,0.008,74000,N/A,11000
ID,1 - Used within the past year,0,0,0,0,0.038,0.0052,0.029,0.05,0.004,0.0006,0.003,0.006,49000,N/A,7000
IL,1 - Used within the past year,0.001,0.0001,0.001,0.002,0.033,0.0027,0.028,0.039,0.03,0.0026,0.026,0.036,355000,N/A,30000
IN,1 - Used within the past year,0.001,0.0002,0.001,0.001,0.051,0.0073,0.039,0.068,0.024,0.0034,0.018,0.031,277000,N/A,41000
KS,1 - Used within the past year,0,0.0001,0,0,0.033,0.0057,0.024,0.047,0.007,0.0012,0.005,0.01,78000,N/A,15000
KY,1 - Used within the past year,0.001,0.0001,0.001,0.001,0.051,0.0076,0.038,0.068,0.016,0.0023,0.012,0.021,186000,N/A,28000
LA,1 - Used within the past year,0.001,0.0001,0.001,0.001,0.052,0.0073,0.04,0.068,0.017,0.0022,0.013,0.022,196000,N/A,26000
MA,1 - Used within the past year,0.001,0.0001,0,0.001,0.03,0.0046,0.022,0.04,0.014,0.0023,0.01,0.02,168000,N/A,27000
MD,1 - Used within the past year,0.001,0.0001,0.001,0.001,0.045,0.007,0.033,0.061,0.019,0.0031,0.014,0.026,221000,N/A,37000
ME,1 - Used within the past year,0,0,0,0,0.039,0.0066,0.028,0.054,0.004,0.0006,0.003,0.005,45000,N/A,7000
MI,1 - Used within the past year,0.002,0.0001,0.001,0.002,0.047,0.0033,0.041,0.054,0.033,0.0023,0.029,0.038,393000,N/A,27000
MN,1 - Used within the past year,0.001,0.0001,0,0.001,0.033,0.0055,0.023,0.045,0.012,0.0022,0.009,0.018,147000,N/A,26000
MO,1 - Used within the past year,0.001,0.0001,0.001,0.001,0.043,0.0065,0.032,0.058,0.018,0.0027,0.014,0.025,217000,N/A,32000
MS,1 - Used within the past year,0,0.0001,0,0.001,0.044,0.0066,0.033,0.059,0.009,0.0015,0.007,0.013,108000,N/A,17000
MT,1 - Used within the past year,0,0,0,0,0.031,0.0053,0.022,0.043,0.002,0.0004,0.002,0.003,26000,N/A,5000
NC,1 - Used within the past year,0.002,0.0003,0.001,0.002,0.056,0.0087,0.041,0.075,0.038,0.006,0.028,0.052,450000,N/A,73000
ND,1 - Used within the past year,0,0,0,0,0.035,0.0049,0.027,0.046,0.002,0.0003,0.001,0.002,21000,N/A,3000
NE,1 - Used within the past year,0,0,0,0,0.028,0.0044,0.02,0.038,0.004,0.0006,0.003,0.005,42000,N/A,7000
NH,1 - Used within the past year,0,0,0,0,0.04,0.0064,0.029,0.054,0.004,0.0006,0.003,0.005,45000,N/A,7000
NJ,1 - Used within the past year,0.001,0.0001,0.001,0.001,0.035,0.0045,0.027,0.045,0.022,0.0028,0.017,0.028,260000,N/A,34000
NM,1 - Used within the past year,0,0,0,0,0.052,0.0079,0.038,0.07,0.007,0.0011,0.006,0.01,88000,N/A,13000
NV,1 - Used within the past year,0.001,0.0001,0,0.001,0.058,0.0093,0.043,0.08,0.011,0.0018,0.008,0.016,134000,N/A,22000
NY,1 - Used within the past year,0.002,0.0002,0.002,0.003,0.039,0.0032,0.033,0.046,0.055,0.0046,0.047,0.065,651000,N/A,56000
OH,1 - Used within the past year,0.002,0.0001,0.002,0.002,0.053,0.0037,0.046,0.061,0.044,0.0029,0.038,0.05,514000,N/A,34000
OK,1 - Used within the past year,0.001,0.0001,0,0.001,0.057,0.0089,0.042,0.078,0.015,0.0024,0.011,0.021,179000,N/A,29000
OR,1 - Used within the past year,0.001,0.0001,0.001,0.001,0.061,0.0089,0.045,0.081,0.017,0.0027,0.013,0.023,201000,N/A,31000
PA,1 - Used within the past year,0.002,0.0001,0.001,0.002,0.038,0.003,0.033,0.045,0.035,0.0028,0.03,0.041,413000,N/A,33000
RI,1 - Used within the past year,0,0,0,0,0.052,0.0074,0.039,0.069,0.004,0.0006,0.003,0.005,47000,N/A,6000
SC,1 - Used within the past year,0.001,0.0001,0,0.001,0.041,0.0058,0.031,0.054,0.014,0.0019,0.01,0.018,160000,N/A,23000
SD,1 - Used within the past year,0,0,0,0,0.033,0.007,0.022,0.05,0.002,0.0004,0.001,0.003,23000,N/A,5000
TN,1 - Used within the past year,0.001,0.0001,0.001,0.001,0.044,0.0072,0.031,0.06,0.02,0.0033,0.014,0.028,235000,N/A,39000
TX,1 - Used within the past year,0.003,0.0003,0.003,0.004,0.042,0.0031,0.036,0.048,0.074,0.0058,0.064,0.087,877000,N/A,71000
UT,1 - Used within the past year,0,0.0001,0,0,0.04,0.0065,0.029,0.055,0.008,0.0013,0.005,0.011,89000,N/A,15000
VA,1 - Used within the past year,0.002,0.0003,0.001,0.002,0.058,0.0107,0.04,0.083,0.033,0.0067,0.022,0.05,394000,N/A,81000
VT,1 - Used within the past year,0,0,0,0,0.031,0.0054,0.022,0.043,0.001,0.0003,0.001,0.002,17000,N/A,3000
WA,1 - Used within the past year,0.001,0.0002,0.001,0.002,0.057,0.0076,0.044,0.074,0.028,0.0038,0.021,0.036,328000,N/A,45000
WI,1 - Used within the past year,0.001,0.0001,0.001,0.001,0.043,0.0072,0.031,0.06,0.018,0.0031,0.012,0.025,208000,N/A,37000
WV,1 - Used within the past year,0,0,0,0,0.039,0.0053,0.03,0.051,0.005,0.0008,0.004,0.007,61000,N/A,10000
WY,1 - Used within the past year,0,0,0,0,0.034,0.0056,0.025,0.047,0.001,0.0002,0.001,0.002,16000,N/A,3000
