STATE US ABBREVIATION,RC-PAIN RELIEVERS - PAST YEAR MISUSE,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Count,Count SE
Overall,Overall,1,0,N/A,N/A,1,0,N/A,N/A,1,0,N/A,N/A,268562000,N/A,1593000
AK,Overall,0.002,0.0001,0.002,0.002,1,0,N/A,N/A,0.002,0.0001,0.002,0.002,583000,N/A,24000
AL,Overall,0.015,0.0006,0.014,0.016,1,0,N/A,N/A,0.015,0.0006,0.014,0.016,4061000,N/A,170000
AR,Overall,0.009,0.0004,0.008,0.01,1,0,N/A,N/A,0.009,0.0004,0.008,0.01,2463000,N/A,112000
AZ,Overall,0.021,0.0008,0.02,0.023,1,0,N/A,N/A,0.021,0.0008,0.02,0.023,5694000,N/A,227000
CA,Overall,0.121,0.0023,0.117,0.126,1,0,N/A,N/A,0.121,0.0023,0.117,0.126,32623000,N/A,689000
CO,Overall,0.017,0.0006,0.016,0.018,1,0,N/A,N/A,0.017,0.0006,0.016,0.018,4569000,N/A,163000
CT,Overall,0.011,0.0005,0.01,0.012,1,0,N/A,N/A,0.011,0.0005,0.01,0.012,3055000,N/A,141000
DC,Overall,0.002,0.0001,0.002,0.002,1,0,N/A,N/A,0.002,0.0001,0.002,0.002,578000,N/A,24000
DE,Overall,0.003,0.0001,0.003,0.003,1,0,N/A,N/A,0.003,0.0001,0.003,0.003,799000,N/A,31000
FL,Overall,0.065,0.0017,0.062,0.068,1,0,N/A,N/A,0.065,0.0017,0.062,0.068,17406000,N/A,490000
GA,Overall,0.031,0.0012,0.029,0.034,1,0,N/A,N/A,0.031,0.0012,0.029,0.034,8411000,N/A,315000
HI,Overall,0.004,0.0002,0.004,0.005,1,0,N/A,N/A,0.004,0.0002,0.004,0.005,1158000,N/A,46000
IA,Overall,0.01,0.0004,0.009,0.01,1,0,N/A,N/A,0.01,0.0004,0.009,0.01,2602000,N/A,96000
ID,Overall,0.005,0.0002,0.005,0.006,1,0,N/A,N/A,0.005,0.0002,0.005,0.006,1360000,N/A,60000
IL,Overall,0.04,0.0011,0.038,0.042,1,0,N/A,N/A,0.04,0.0011,0.038,0.042,10720000,N/A,308000
IN,Overall,0.02,0.0007,0.019,0.022,1,0,N/A,N/A,0.02,0.0007,0.019,0.022,5495000,N/A,187000
KS,Overall,0.009,0.0003,0.008,0.009,1,0,N/A,N/A,0.009,0.0003,0.008,0.009,2368000,N/A,78000
KY,Overall,0.014,0.0005,0.013,0.015,1,0,N/A,N/A,0.014,0.0005,0.013,0.015,3676000,N/A,142000
LA,Overall,0.014,0.0006,0.013,0.015,1,0,N/A,N/A,0.014,0.0006,0.013,0.015,3826000,N/A,157000
MA,Overall,0.022,0.0008,0.02,0.023,1,0,N/A,N/A,0.022,0.0008,0.02,0.023,5836000,N/A,209000
MD,Overall,0.019,0.0007,0.017,0.02,1,0,N/A,N/A,0.019,0.0007,0.017,0.02,5023000,N/A,179000
ME,Overall,0.004,0.0002,0.004,0.005,1,0,N/A,N/A,0.004,0.0002,0.004,0.005,1153000,N/A,45000
MI,Overall,0.031,0.0008,0.03,0.033,1,0,N/A,N/A,0.031,0.0008,0.03,0.033,8400000,N/A,221000
MN,Overall,0.017,0.0008,0.016,0.019,1,0,N/A,N/A,0.017,0.0008,0.016,0.019,4590000,N/A,205000
MO,Overall,0.019,0.0006,0.018,0.02,1,0,N/A,N/A,0.019,0.0006,0.018,0.02,5063000,N/A,163000
MS,Overall,0.009,0.0003,0.009,0.01,1,0,N/A,N/A,0.009,0.0003,0.009,0.01,2446000,N/A,83000
MT,Overall,0.003,0.0001,0.003,0.003,1,0,N/A,N/A,0.003,0.0001,0.003,0.003,870000,N/A,30000
NC,Overall,0.031,0.001,0.029,0.033,1,0,N/A,N/A,0.031,0.001,0.029,0.033,8370000,N/A,279000
ND,Overall,0.002,0.0001,0.002,0.002,1,0,N/A,N/A,0.002,0.0001,0.002,0.002,618000,N/A,23000
NE,Overall,0.006,0.0002,0.005,0.006,1,0,N/A,N/A,0.006,0.0002,0.005,0.006,1553000,N/A,62000
NH,Overall,0.004,0.0001,0.004,0.005,1,0,N/A,N/A,0.004,0.0001,0.004,0.005,1151000,N/A,39000
NJ,Overall,0.028,0.0009,0.026,0.03,1,0,N/A,N/A,0.028,0.0009,0.026,0.03,7551000,N/A,246000
NM,Overall,0.006,0.0002,0.006,0.007,1,0,N/A,N/A,0.006,0.0002,0.006,0.007,1719000,N/A,65000
NV,Overall,0.009,0.0003,0.008,0.01,1,0,N/A,N/A,0.009,0.0003,0.008,0.01,2429000,N/A,91000
