STATE US ABBREVIATION,RC-PAIN RELIEVERS - PAST YEAR MISUSE,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Count,Count SE
NY,Overall,0.062,0.0014,0.06,0.065,1,0,N/A,N/A,0.062,0.0014,0.06,0.065,16764000,N/A,396000
OH,Overall,0.036,0.0009,0.035,0.038,1,0,N/A,N/A,0.036,0.0009,0.035,0.038,9736000,N/A,236000
OK,Overall,0.012,0.0005,0.011,0.013,1,0,N/A,N/A,0.012,0.0005,0.011,0.013,3192000,N/A,147000
OR,Overall,0.013,0.0004,0.012,0.014,1,0,N/A,N/A,0.013,0.0004,0.012,0.014,3449000,N/A,113000
PA,Overall,0.04,0.0011,0.038,0.043,1,0,N/A,N/A,0.04,0.0011,0.038,0.043,10845000,N/A,297000
RI,Overall,0.003,0.0001,0.003,0.004,1,0,N/A,N/A,0.003,0.0001,0.003,0.004,905000,N/A,36000
SC,Overall,0.015,0.0006,0.014,0.017,1,0,N/A,N/A,0.015,0.0006,0.014,0.017,4102000,N/A,171000
SD,Overall,0.003,0.0001,0.002,0.003,1,0,N/A,N/A,0.003,0.0001,0.002,0.003,699000,N/A,28000
TN,Overall,0.021,0.0009,0.019,0.022,1,0,N/A,N/A,0.021,0.0009,0.019,0.022,5532000,N/A,236000
TX,Overall,0.083,0.002,0.079,0.087,1,0,N/A,N/A,0.083,0.002,0.079,0.087,22321000,N/A,584000
UT,Overall,0.009,0.0004,0.008,0.01,1,0,N/A,N/A,0.009,0.0004,0.008,0.01,2377000,N/A,118000
VA,Overall,0.026,0.0007,0.024,0.027,1,0,N/A,N/A,0.026,0.0007,0.024,0.027,6945000,N/A,197000
VT,Overall,0.002,0.0001,0.002,0.002,1,0,N/A,N/A,0.002,0.0001,0.002,0.002,543000,N/A,18000
WA,Overall,0.022,0.0009,0.021,0.024,1,0,N/A,N/A,0.022,0.0009,0.021,0.024,6029000,N/A,243000
WI,Overall,0.018,0.0008,0.017,0.02,1,0,N/A,N/A,0.018,0.0008,0.017,0.02,4859000,N/A,212000
WV,Overall,0.006,0.0002,0.005,0.006,1,0,N/A,N/A,0.006,0.0002,0.005,0.006,1562000,N/A,61000
WY,Overall,0.002,0.0001,0.002,0.002,1,0,N/A,N/A,0.002,0.0001,0.002,0.002,481000,N/A,20000
Overall,0 - Did not misuse in the past year,0.955,0.0008,0.954,0.957,0.955,0.0008,0.954,0.957,1,0,N/A,N/A,256591000,N/A,1549000
AK,0 - Did not misuse in the past year,0.002,0.0001,0.002,0.002,0.954,0.0049,0.943,0.962,0.002,0.0001,0.002,0.002,556000,N/A,24000
AL,0 - Did not misuse in the past year,0.014,0.0006,0.013,0.016,0.947,0.0057,0.935,0.957,0.015,0.0006,0.014,0.016,3846000,N/A,168000
AR,0 - Did not misuse in the past year,0.009,0.0004,0.008,0.01,0.952,0.0053,0.941,0.962,0.009,0.0004,0.008,0.01,2345000,N/A,111000
AZ,0 - Did not misuse in the past year,0.02,0.0008,0.019,0.022,0.953,0.0057,0.94,0.963,0.021,0.0008,0.02,0.023,5424000,N/A,219000
CA,0 - Did not misuse in the past year,0.116,0.0022,0.111,0.12,0.952,0.0028,0.946,0.957,0.121,0.0024,0.116,0.126,31052000,N/A,660000
CO,0 - Did not misuse in the past year,0.016,0.0006,0.015,0.017,0.944,0.0054,0.933,0.954,0.017,0.0006,0.016,0.018,4315000,N/A,150000
CT,0 - Did not misuse in the past year,0.011,0.0005,0.01,0.012,0.948,0.0078,0.93,0.961,0.011,0.0005,0.01,0.012,2896000,N/A,138000
DC,0 - Did not misuse in the past year,0.002,0.0001,0.002,0.002,0.959,0.0063,0.944,0.969,0.002,0.0001,0.002,0.002,554000,N/A,23000
DE,0 - Did not misuse in the past year,0.003,0.0001,0.003,0.003,0.953,0.0066,0.938,0.965,0.003,0.0001,0.003,0.003,762000,N/A,29000
FL,0 - Did not misuse in the past year,0.062,0.0017,0.059,0.066,0.96,0.0031,0.954,0.966,0.065,0.0018,0.062,0.069,16712000,N/A,486000
GA,0 - Did not misuse in the past year,0.03,0.0011,0.028,0.032,0.962,0.0043,0.953,0.97,0.032,0.0012,0.029,0.034,8095000,N/A,308000
HI,0 - Did not misuse in the past year,0.004,0.0002,0.004,0.004,0.955,0.0066,0.94,0.966,0.004,0.0002,0.004,0.005,1106000,N/A,45000
IA,0 - Did not misuse in the past year,0.009,0.0003,0.009,0.01,0.967,0.0042,0.957,0.974,0.01,0.0004,0.009,0.011,2516000,N/A,94000
ID,0 - Did not misuse in the past year,0.005,0.0002,0.004,0.005,0.949,0.0055,0.937,0.958,0.005,0.0002,0.005,0.006,1290000,N/A,60000
IL,0 - Did not misuse in the past year,0.038,0.0011,0.036,0.041,0.962,0.0036,0.954,0.968,0.04,0.0011,0.038,0.042,10313000,N/A,297000
IN,0 - Did not misuse in the past year,0.019,0.0007,0.018,0.021,0.949,0.0057,0.937,0.959,0.02,0.0007,0.019,0.022,5216000,N/A,184000
KS,0 - Did not misuse in the past year,0.008,0.0003,0.008,0.009,0.958,0.0056,0.945,0.967,0.009,0.0003,0.008,0.009,2268000,N/A,79000
KY,0 - Did not misuse in the past year,0.013,0.0005,0.012,0.014,0.948,0.0063,0.934,0.959,0.014,0.0005,0.013,0.015,3484000,N/A,139000
LA,0 - Did not misuse in the past year,0.014,0.0006,0.013,0.015,0.954,0.0055,0.942,0.964,0.014,0.0006,0.013,0.015,3649000,N/A,151000
MA,0 - Did not misuse in the past year,0.021,0.0007,0.02,0.022,0.964,0.006,0.951,0.974,0.022,0.0008,0.02,0.024,5628000,N/A,198000
MD,0 - Did not misuse in the past year,0.018,0.0006,0.017,0.019,0.961,0.0056,0.949,0.971,0.019,0.0007,0.018,0.02,4828000,N/A,174000
ME,0 - Did not misuse in the past year,0.004,0.0002,0.004,0.005,0.972,0.0043,0.962,0.979,0.004,0.0002,0.004,0.005,1121000,N/A,44000
MI,0 - Did not misuse in the past year,0.03,0.0008,0.028,0.031,0.949,0.0045,0.94,0.957,0.031,0.0008,0.029,0.033,7973000,N/A,211000
MN,0 - Did not misuse in the past year,0.016,0.0007,0.015,0.018,0.959,0.0057,0.946,0.969,0.017,0.0008,0.016,0.019,4401000,N/A,196000
MO,0 - Did not misuse in the past year,0.018,0.0006,0.017,0.019,0.958,0.006,0.945,0.968,0.019,0.0006,0.018,0.02,4851000,N/A,160000
MS,0 - Did not misuse in the past year,0.009,0.0003,0.008,0.009,0.955,0.0056,0.943,0.965,0.009,0.0003,0.008,0.01,2335000,N/A,81000
MT,0 - Did not misuse in the past year,0.003,0.0001,0.003,0.003,0.953,0.006,0.94,0.963,0.003,0.0001,0.003,0.003,829000,N/A,29000
NC,0 - Did not misuse in the past year,0.03,0.001,0.028,0.032,0.951,0.0053,0.939,0.96,0.031,0.0011,0.029,0.033,7959000,N/A,275000
ND,0 - Did not misuse in the past year,0.002,0.0001,0.002,0.002,0.963,0.0058,0.95,0.972,0.002,0.0001,0.002,0.002,595000,N/A,22000
NE,0 - Did not misuse in the past year,0.006,0.0002,0.005,0.006,0.964,0.006,0.95,0.974,0.006,0.0002,0.005,0.006,1497000,N/A,61000
NH,0 - Did not misuse in the past year,0.004,0.0001,0.004,0.004,0.949,0.007,0.934,0.961,0.004,0.0002,0.004,0.005,1093000,N/A,38000
NJ,0 - Did not misuse in the past year,0.027,0.0009,0.025,0.029,0.965,0.0042,0.956,0.972,0.028,0.0009,0.027,0.03,7285000,N/A,234000
NM,0 - Did not misuse in the past year,0.006,0.0002,0.006,0.007,0.959,0.0053,0.947,0.968,0.006,0.0003,0.006,0.007,1648000,N/A,65000
NV,0 - Did not misuse in the past year,0.009,0.0003,0.008,0.009,0.943,0.0082,0.924,0.957,0.009,0.0003,0.008,0.01,2289000,N/A,83000
NY,0 - Did not misuse in the past year,0.06,0.0014,0.057,0.063,0.963,0.0032,0.956,0.969,0.063,0.0015,0.06,0.066,16143000,N/A,389000
OH,0 - Did not misuse in the past year,0.035,0.0008,0.033,0.036,0.954,0.004,0.945,0.961,0.036,0.0009,0.034,0.038,9288000,N/A,230000
OK,0 - Did not misuse in the past year,0.011,0.0005,0.01,0.012,0.958,0.0067,0.943,0.97,0.012,0.0005,0.011,0.013,3060000,N/A,141000
OR,0 - Did not misuse in the past year,0.012,0.0004,0.011,0.013,0.943,0.0059,0.93,0.954,0.013,0.0004,0.012,0.014,3253000,N/A,113000
PA,0 - Did not misuse in the past year,0.039,0.0011,0.037,0.041,0.955,0.0043,0.945,0.962,0.04,0.0011,0.038,0.043,10352000,N/A,292000
RI,0 - Did not misuse in the past year,0.003,0.0001,0.003,0.003,0.948,0.0078,0.93,0.961,0.003,0.0001,0.003,0.004,858000,N/A,34000
SC,0 - Did not misuse in the past year,0.015,0.0006,0.013,0.016,0.954,0.006,0.941,0.965,0.015,0.0006,0.014,0.017,3915000,N/A,167000
SD,0 - Did not misuse in the past year,0.002,0.0001,0.002,0.003,0.96,0.0064,0.945,0.971,0.003,0.0001,0.002,0.003,671000,N/A,27000
TN,0 - Did not misuse in the past year,0.02,0.0008,0.018,0.021,0.952,0.0057,0.94,0.962,0.021,0.0009,0.019,0.022,5267000,N/A,231000
TX,0 - Did not misuse in the past year,0.079,0.0019,0.076,0.083,0.954,0.0033,0.947,0.96,0.083,0.002,0.079,0.087,21301000,N/A,557000
UT,0 - Did not misuse in the past year,0.008,0.0004,0.008,0.009,0.949,0.0054,0.937,0.959,0.009,0.0004,0.008,0.01,2256000,N/A,110000
VA,0 - Did not misuse in the past year,0.025,0.0007,0.024,0.026,0.962,0.004,0.953,0.969,0.026,0.0007,0.025,0.028,6681000,N/A,190000
VT,0 - Did not misuse in the past year,0.002,0.0001,0.002,0.002,0.95,0.0058,0.938,0.961,0.002,0.0001,0.002,0.002,516000,N/A,17000
WA,0 - Did not misuse in the past year,0.021,0.0009,0.019,0.023,0.935,0.0082,0.917,0.949,0.022,0.0009,0.02,0.024,5638000,N/A,246000
WI,0 - Did not misuse in the past year,0.017,0.0008,0.016,0.019,0.967,0.005,0.955,0.975,0.018,0.0008,0.017,0.02,4697000,N/A,210000
WV,0 - Did not misuse in the past year,0.006,0.0002,0.005,0.006,0.962,0.0051,0.95,0.97,0.006,0.0002,0.005,0.006,1502000,N/A,58000
WY,0 - Did not misuse in the past year,0.002,0.0001,0.002,0.002,0.962,0.0062,0.948,0.972,0.002,0.0001,0.002,0.002,463000,N/A,19000
Overall,1 - Misused within the past year,0.045,0.0008,0.043,0.046,0.045,0.0008,0.043,0.046,1,0,N/A,N/A,11971000,N/A,224000
AK,1 - Misused within the past year,0,0,0,0,0.046,0.0049,0.038,0.057,0.002,0.0002,0.002,0.003,27000,N/A,3000
AL,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.053,0.0057,0.043,0.065,0.018,0.0019,0.015,0.022,215000,N/A,23000
AR,1 - Misused within the past year,0,0,0,0.001,0.048,0.0053,0.038,0.059,0.01,0.0011,0.008,0.012,117000,N/A,13000
AZ,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.047,0.0057,0.037,0.06,0.023,0.0028,0.018,0.029,270000,N/A,34000
CA,1 - Misused within the past year,0.006,0.0004,0.005,0.007,0.048,0.0028,0.043,0.054,0.131,0.0073,0.118,0.146,1571000,N/A,97000
CO,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.056,0.0054,0.046,0.067,0.021,0.0023,0.017,0.026,254000,N/A,28000
CT,1 - Misused within the past year,0.001,0.0001,0,0.001,0.052,0.0078,0.039,0.07,0.013,0.002,0.01,0.018,159000,N/A,24000
DC,1 - Misused within the past year,0,0,0,0,0.041,0.0063,0.031,0.056,0.002,0.0003,0.001,0.003,24000,N/A,4000
DE,1 - Misused within the past year,0,0,0,0,0.047,0.0066,0.035,0.062,0.003,0.0005,0.002,0.004,37000,N/A,6000
FL,1 - Misused within the past year,0.003,0.0002,0.002,0.003,0.04,0.0031,0.034,0.046,0.058,0.0045,0.05,0.067,694000,N/A,54000
GA,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.038,0.0043,0.03,0.047,0.026,0.0031,0.021,0.033,316000,N/A,37000
HI,1 - Misused within the past year,0,0,0,0,0.045,0.0066,0.034,0.06,0.004,0.0007,0.003,0.006,52000,N/A,8000
IA,1 - Misused within the past year,0,0,0,0,0.033,0.0042,0.026,0.043,0.007,0.001,0.006,0.009,87000,N/A,11000
ID,1 - Misused within the past year,0,0,0,0,0.051,0.0055,0.042,0.063,0.006,0.0006,0.005,0.007,70000,N/A,7000
IL,1 - Misused within the past year,0.002,0.0002,0.001,0.002,0.038,0.0036,0.032,0.046,0.034,0.0033,0.028,0.041,407000,N/A,40000
IN,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.051,0.0057,0.041,0.063,0.023,0.0026,0.019,0.029,278000,N/A,32000
KS,1 - Misused within the past year,0,0,0,0,0.042,0.0056,0.033,0.055,0.008,0.0011,0.007,0.011,100000,N/A,13000
KY,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.052,0.0063,0.041,0.066,0.016,0.002,0.013,0.02,192000,N/A,24000
LA,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.046,0.0055,0.036,0.058,0.015,0.0019,0.011,0.019,176000,N/A,23000
MA,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.036,0.006,0.026,0.049,0.017,0.0031,0.012,0.024,208000,N/A,37000
MD,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.039,0.0056,0.029,0.051,0.016,0.0024,0.012,0.022,195000,N/A,29000
ME,1 - Misused within the past year,0,0,0,0,0.028,0.0043,0.021,0.038,0.003,0.0004,0.002,0.004,32000,N/A,5000
MI,1 - Misused within the past year,0.002,0.0002,0.001,0.002,0.051,0.0045,0.043,0.06,0.036,0.0033,0.03,0.043,427000,N/A,40000
MN,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.041,0.0057,0.031,0.054,0.016,0.0023,0.012,0.021,189000,N/A,28000
MO,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.042,0.006,0.032,0.055,0.018,0.0026,0.013,0.024,212000,N/A,31000
MS,1 - Misused within the past year,0,0.0001,0,0.001,0.045,0.0056,0.035,0.057,0.009,0.0012,0.007,0.012,110000,N/A,14000
MT,1 - Misused within the past year,0,0,0,0,0.047,0.006,0.037,0.06,0.003,0.0005,0.003,0.004,41000,N/A,6000
NC,1 - Misused within the past year,0.002,0.0002,0.001,0.002,0.049,0.0053,0.04,0.061,0.034,0.0036,0.028,0.042,411000,N/A,44000
ND,1 - Misused within the past year,0,0,0,0,0.037,0.0058,0.028,0.05,0.002,0.0003,0.001,0.003,23000,N/A,4000
NE,1 - Misused within the past year,0,0,0,0,0.036,0.006,0.026,0.05,0.005,0.0008,0.003,0.007,57000,N/A,9000
NH,1 - Misused within the past year,0,0,0,0,0.051,0.007,0.039,0.066,0.005,0.0007,0.004,0.006,58000,N/A,8000
NJ,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.035,0.0042,0.028,0.044,0.022,0.0028,0.017,0.029,267000,N/A,34000
NM,1 - Misused within the past year,0,0,0,0,0.041,0.0053,0.032,0.053,0.006,0.0008,0.005,0.008,71000,N/A,9000
NV,1 - Misused within the past year,0.001,0.0001,0,0.001,0.057,0.0082,0.043,0.076,0.012,0.0018,0.009,0.016,140000,N/A,22000
NY,1 - Misused within the past year,0.002,0.0002,0.002,0.003,0.037,0.0032,0.031,0.044,0.052,0.0045,0.044,0.061,621000,N/A,55000
OH,1 - Misused within the past year,0.002,0.0002,0.001,0.002,0.046,0.004,0.039,0.055,0.037,0.0033,0.031,0.045,448000,N/A,40000
OK,1 - Misused within the past year,0,0.0001,0,0.001,0.042,0.0067,0.03,0.057,0.011,0.0019,0.008,0.015,133000,N/A,23000
OR,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.057,0.0059,0.046,0.07,0.016,0.0017,0.013,0.02,196000,N/A,20000
PA,1 - Misused within the past year,0.002,0.0002,0.002,0.002,0.045,0.0043,0.038,0.055,0.041,0.0039,0.034,0.05,493000,N/A,47000
RI,1 - Misused within the past year,0,0,0,0,0.052,0.0078,0.039,0.07,0.004,0.0006,0.003,0.005,47000,N/A,7000
SC,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.046,0.006,0.035,0.059,0.016,0.0021,0.012,0.02,187000,N/A,25000
SD,1 - Misused within the past year,0,0,0,0,0.04,0.0064,0.029,0.055,0.002,0.0004,0.002,0.003,28000,N/A,5000
TN,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.048,0.0057,0.038,0.06,0.022,0.0027,0.017,0.028,265000,N/A,32000
TX,1 - Misused within the past year,0.004,0.0003,0.003,0.004,0.046,0.0033,0.04,0.053,0.085,0.0063,0.074,0.098,1020000,N/A,81000
UT,1 - Misused within the past year,0,0.0001,0,0.001,0.051,0.0054,0.041,0.063,0.01,0.0013,0.008,0.013,121000,N/A,15000
VA,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.038,0.004,0.031,0.047,0.022,0.0024,0.018,0.027,264000,N/A,29000
VT,1 - Misused within the past year,0,0,0,0,0.05,0.0058,0.039,0.062,0.002,0.0003,0.002,0.003,27000,N/A,3000
WA,1 - Misused within the past year,0.001,0.0002,0.001,0.002,0.065,0.0082,0.051,0.083,0.033,0.0039,0.026,0.041,392000,N/A,47000
WI,1 - Misused within the past year,0.001,0.0001,0,0.001,0.033,0.005,0.025,0.045,0.014,0.002,0.01,0.018,162000,N/A,25000
WV,1 - Misused within the past year,0,0,0,0,0.038,0.0051,0.03,0.05,0.005,0.0007,0.004,0.007,60000,N/A,8000
WY,1 - Misused within the past year,0,0,0,0,0.038,0.0062,0.028,0.052,0.002,0.0003,0.001,0.002,18000,N/A,3000
